Date,Open,High,Low,Close,Volume,OpenInterest,sma
2020-01-02,1874.79,1898.0,1864.15,1897.71,3583611,0.0,1781.1036020000008
2020-01-03,1864.5,1886.1965,1864.5,1874.93,3293469,0.0,1783.2954020000006
2020-01-06,1860.0,1903.69,1860.0,1903.33,3598872,0.0,1786.1222020000007
2020-01-07,1904.5,1913.89,1892.0433,1906.86,3638680,0.0,1788.6275320000007
2020-01-08,1898.68,1910.9999,1886.4448,1892.09,3032612,0.0,1791.2293320000006
2020-01-09,1909.89,1916.4961,1895.8038,1901.0,2762629,0.0,1793.7085320000008
2020-01-10,1905.37,1906.94,1880.0,1882.98,2605447,0.0,1796.1073320000007
2020-01-13,1890.96,1898.0,1880.8,1891.41,2374490,0.0,1798.3355320000007
2020-01-14,1885.96,1887.11,1858.55,1869.2,3123178,0.0,1800.1766700000007
2020-01-15,1872.13,1878.86,1855.09,1862.01,2635516,0.0,1801.5874700000006
2020-01-16,1882.99,1885.59,1866.02,1877.95,2419044,0.0,1803.0410700000004
2020-01-17,1885.89,1886.64,1857.25,1864.71,3473384,0.0,1804.3012700000006
2020-01-21,1865.0,1894.27,1860.0,1892.55,5977747,0.0,1806.2334700000006
2020-01-22,1896.09,1902.5,1883.34,1887.46,5797891,0.0,1808.2186700000009
2020-01-23,1885.11,1889.975,1872.76,1884.58,4048982,0.0,1810.1926700000008
2020-01-24,1890.28,1894.99,1847.44,1861.64,6851714,0.0,1811.987470000001
2020-01-27,1820.5,1841.0,1815.34,1828.89,3017964,0.0,1813.000670000001
2020-01-28,1840.5,1858.11,1830.02,1853.33,2356589,0.0,1814.9992700000012
2020-01-29,1864.0,1874.75,1855.02,1858.0,1835190,0.0,1817.0662700000012
2020-01-30,1858.0,1872.87,1850.61,1870.8896,3241517,0.0,1819.702462000001
2020-01-31,2051.47,2055.72,2002.27,2007.75,14449332,0.0,1824.800262000001
